preset,benchmark,condition,n,err,acc,strict_prompt,loose_prompt,strict_inst,loose_inst,base_acc,delta
qwen3.5-4b-it,bbh,dao,6511,0,33.35893103977884,,,,,56.627246198740586,-23.268315158961748
qwen3.5-4b-it,bbh,military,6511,0,19.520810935340194,,,,,56.627246198740586,-37.10643526340039
qwen3.5-4b-it,bbh,legal,6511,0,50.990631239440944,,,,,56.627246198740586,-5.636614959299642
qwen3.5-4b-it,bbh,neutral_long,6511,0,57.47197051144217,,,,,56.627246198740586,0.8447243127015867
qwen3.5-4b-it,bbh,logician,6511,0,14.590692673936415,,,,,56.627246198740586,-42.03655352480417
qwen3.5-4b-it,bbh,confucian,6511,0,44.3249884810321,,,,,56.627246198740586,-12.302257717708486
qwen3.5-4b-it,humaneval,mohist,164,0,32.926829268292686,,,,,68.29268292682927,-35.36585365853659
qwen3.5-4b-it,truthfulqa,mohist,817,0,70.37943696450428,,,,,66.82986536107711,3.549571603427168
qwen3.5-4b-it,humaneval,neutral_long,164,0,67.6829268292683,,,,,68.29268292682927,-0.6097560975609753
qwen3.5-4b-it,humaneval,baseline,164,0,68.29268292682927,,,,,68.29268292682927,0.0
qwen3.5-4b-it,truthfulqa,neutral_long,817,0,68.29865361077111,,,,,66.82986536107711,1.4687882496940006
qwen3.5-4b-it,humaneval,legal,164,0,70.1219512195122,,,,,68.29268292682927,1.8292682926829258
qwen3.5-4b-it,truthfulqa,baseline,817,0,66.82986536107711,,,,,66.82986536107711,0.0
qwen3.5-4b-it,humaneval,dao,164,0,66.46341463414635,,,,,68.29268292682927,-1.8292682926829258
qwen3.5-4b-it,truthfulqa,legal,817,0,68.91064871481028,,,,,66.82986536107711,2.0807833537331675
qwen3.5-4b-it,humaneval,confucian,164,0,70.73170731707317,,,,,68.29268292682927,2.439024390243901
qwen3.5-4b-it,humaneval,logician,164,0,69.51219512195121,,,,,68.29268292682927,1.2195121951219363
qwen3.5-4b-it,truthfulqa,dao,817,0,55.569155446756426,,,,,66.82986536107711,-11.260709914320685
qwen3.5-4b-it,truthfulqa,confucian,817,0,41.126070991432066,,,,,66.82986536107711,-25.703794369645045
qwen3.5-4b-it,humaneval,military,164,0,68.29268292682927,,,,,68.29268292682927,0.0
qwen3.5-4b-it,truthfulqa,logician,817,0,55.691554467564266,,,,,66.82986536107711,-11.138310893512845
qwen3.5-4b-it,truthfulqa,military,817,0,66.58506731946144,,,,,66.82986536107711,-0.24479804161566676
qwen3.5-9b-it,mmlu,mohist,14042,0,77.1969804871101,,,,,77.79518587095855,-0.5982053838484518
qwen3.5-9b-it,mmlu,baseline,14042,0,77.79518587095855,,,,,77.79518587095855,0.0
qwen3.5-9b-it,mmlu,legal,14042,0,76.13587808004559,,,,,77.79518587095855,-1.6593077909129619
qwen3.5-9b-it,mmlu,logician,14042,0,76.11451360205099,,,,,77.79518587095855,-1.680672268907557
qwen3.5-9b-it,mmlu,military,14042,0,76.42785927930494,,,,,77.79518587095855,-1.3673265916536081
qwen3.5-9b-it,mmlu,dao,14042,0,76.99757869249395,,,,,77.79518587095855,-0.7976071784646024
qwen3.5-9b-it,mmlu,confucian,14042,0,76.17860703603475,,,,,77.79518587095855,-1.6165788349238
qwen3.5-9b-it,mmlu,neutral_long,14042,0,77.92337273892608,,,,,77.79518587095855,0.12818686796752843
qwen3.5-9b-it,bbh,baseline,6511,0,60.374750422362155,,,,,60.374750422362155,0.0
qwen3.5-9b-it,bbh,mohist,6511,0,74.56611887574873,,,,,60.374750422362155,14.191368453386573
qwen3.5-9b-it,bbh,dao,6511,0,33.420365535248045,,,,,60.374750422362155,-26.95438488711411
qwen3.5-9b-it,bbh,military,6511,0,15.4661342343726,,,,,60.374750422362155,-44.90861618798955
qwen3.5-9b-it,bbh,legal,6511,0,39.50238058669943,,,,,60.374750422362155,-20.872369835662724
qwen3.5-9b-it,bbh,logician,6511,0,8.401167255413915,,,,,60.374750422362155,-51.97358316694824
qwen3.5-9b-it,bbh,neutral_long,6511,0,63.784364920903094,,,,,60.374750422362155,3.4096144985409396
qwen3.5-9b-it,bbh,confucian,6511,0,43.89494701274766,,,,,60.374750422362155,-16.479803409614497
qwen3.5-9b-it,humaneval,mohist,164,0,39.02439024390244,,,,,4.878048780487805,34.146341463414636
qwen3.5-9b-it,truthfulqa,mohist,817,0,75.1529987760098,,,,,72.70501835985313,2.4479804161566676
qwen3.5-9b-it,humaneval,neutral_long,164,0,44.51219512195122,,,,,4.878048780487805,39.63414634146342
qwen3.5-9b-it,humaneval,baseline,164,0,4.878048780487805,,,,,4.878048780487805,0.0
qwen3.5-9b-it,truthfulqa,neutral_long,817,0,72.09302325581395,,,,,72.70501835985313,-0.6119951040391811
